review,url,distance,neighbor
"Most of the time, it’s fun to be right. It’s fun to Google “Which Harry Potter book do they mention ‘snogging’ in for the first time?” and confirm that it is, in fact, Prisoner of Azkaban like you said, and not Goblet of Fire, which your brother put $10 on. But there are other times when you kind of hope that you’re wrong, like when you think you might have left the oven on and you’re about to board a flight for a two-week trip. Or when you go to a new upscale restaurant in Rittenhouse thinking it will probably be just like all of the other overpriced spots in the area where you eat mashed potatoes topped with caviar and get called “madame” or “sir.” In those situations, you hope you’re horribly wrong.  ,Luckily, we were wrong about Spice Finch. Even though it just looks like another fancy Rittenhouse spot reserved for a rich aunt’s birthday, it’s actually the kind of place you can go for a casual weeknight dinner when you’re okay with spending a little extra money, drinking a $14 cocktail, and eating some really good Mediterranean food.,When you first walk into Spice Finch, you won’t notice anything super different about it. This place has the same heavy wooden tables and leather-backed chairs that most other special occasion spots have, and the servers are dressed in black and white uniforms like they were just transferred from LaCroix down the street. But somewhere between your garlic yogurt crudité and broccoli tabouleh, you’ll realize this place isn’t exactly The Bellevue.,You’ll see Flyers fans at the big bar wearing jerseys and watching the game on TV, while other people befriend the bartender. Back at your table, your server will pull over a chair to sit and walk you through the big menu. All of a sudden, this isn’t just a place for the marketing dinner your boss asked you to plan—it’s somewhere you actually want to hang out.,The food here kind of surprises you as well. It’s just as expensive as any other special occasion spot in Rittenhouse, which is another reason we initially put it in the “only use in case of emergencies” box, but it’s mostly very good and gets better with every course. The appetizers, which range from mahon croquettes to shishito peppers with tahini and harissa, are all solid, and the fattoush with cucumber, green beans, and tomato vinaigrette is one of the only salads we’d go out of our way for when we live a block away from Honeygrow. But where Spice Finch really impresses is the entrees. Especially the lamb ribs, which are sweet, tender, and covered with a glaze of spices and charred skin. The charred octopus and the berbere carrots are worth getting too, but the lamb ribs are the one thing you’ll be thinking about two months later when you’re at a wedding and a disappointing plate of flank steak ends up in front of you.,That being said, there are bound to be things that aren’t perfect on a menu this large, and they could probably cut about 10 dishes without anyone noticing. The broccoli tabouleh, for example, isn’t something we’d tell anyone to get here. It’s not that it’s bad, as it’s pretty hard to mess up tabouleh, but adding broccoli to it doesn’t make the dish any more unique or flavorful. And the croquettes could be significantly improved by losing the avocado tomatillo underneath them—there are a bunch of sauces you can order a la carte, like the harissa, that work much better.,Even if you’ve walked by Spice Finch, looked in the window, and thought to yourself, “I probably can’t go in there if I’m wearing anything that can go in a normal washing machine,” you should give it another shot. You’ll be surprised at how easily you start to feel comfortable here, and you’ll be happy your first impressions were way, way off.,",/philadelphia/reviews/spice-finch,0.8821388600948966,579
"When we’re in the mood for a creamy bowl of grits, we head to Booker’s Restaurant &amp; Bar in Cedar Park. They serve them three ways here–with shrimp, andouille sausage, or catfish. And since the Southern spot only serves brunch in the daytime, you can find us ordering the grainy breakfast go-to on a cold day, along with cheesecake french toast, fried chicken and waffles, a burger topped with cherry peppers and caramelized onions, or huevos rancheros.,Beyond steak and eggs and salmon sliders to start our days, their dinner menu is full of comforting selections like jerk oxtail, seafood mac and cheese, and a creole vegan jambalaya that mixes peppers, onions, black beans, spicy mushroom tarragon, and yellow rice. The portions are on the large side, which is great because we only bring our families or group of closest friends here. Be sure to make a reservation as the dining room is small, and if you’re hoping to walk in, you may be stuck watching a few trolleys roll by on Baltimore Ave while you wait outside. ,But you could also just pass time with their Happy Hour (which runs from 5-7pm) they exclusively serve on their outdoor dining set-up. During the discount hours, they have $6 cocktails like whiskey gingers and margaritas, $5 wines, $7 city wides, and hot fried chicken sliders that are covered with sriracha aioli and pickles and served on brioche buns.,",/philadelphia/reviews/bookers-restaurant-bar,0.8637985170275357,1373
"Jim’s is a retro, counter-service place on South Street that's always in the conversation when talking about Philly’s best cheesesteaks. Because of that, there’s always going to be a line out the door, so you have two options. You could bring a beach chair, suck it up, and wait it out for this messy, cheesy sandwich. Or, if you’d rather sit down in a coffee shop and eat your sandwich at a table, you could head across the street to Milkboy and order your Jim’s cheesesteak there. They’ll usually deliver it to your table before you would have gotten to the front of the line at Jim’s anyway.",/philadelphia/reviews/jims-south-st,0.8610818084755893,1298
"You like Fork. Your boss likes Fork. Your neighbor that you’ve never spoken to, but always wave at when you see him outside walking his dog loves Fork. It’s a people pleaser, and it’s a great place to go with a big group for a birthday or any other reason that you and your friends get together these days. The space in Old City has white tablecloths and definitely feels upscale, but you won’t feel like you’re at a stuffy steakhouse or a 200-year-old country club with a room that only male members are allowed in to smoke cigars. Fork has a diverse seasonal menu that includes things like squash and apple soup to a big steak for two, and it’s all excellent.,",/philadelphia/reviews/fork,0.8527877399772141,615
"Our review for this Israeli grill could probably take a similar form to an Oscar speech where the actor lists off every important moment in their career. Except, in this case, we would just be rattling off everything we love about this restaurant. But we're sure that somewhere between ""and thank you to the sizzling chicken, babganoush, and buttery pita,"" we'd start hearing the music to play us off. Simply, there are just too many things we love about this open-air spot. The most important thing we want to relay to you is this: a meal at Laser Wolf will be one of the most memorable you can have in Philly.,This Kensington restaurant comes from the same team behind Zahav, so it’s no surprise you’ll start your night here with about a dozen vegetable-based mezze like stewed beets and sweet pears, pickled celery root, and bright green gigante bean piyaz all tossed into some small metallic cups. It’s pretty much the best paint palette ever, but instead of a bunch of acrylics, you get vegetables served to you in a way that makes you feel like you’re tasting them for the first time. And like Zahav, they have the fluffiest pita and best hummus in town. ,Outside of the tray of starters, there are a few other things you should order, or you’ll have deep regrets watching other tables dive in. One of them is the tuna shishlik, which consists of thick juicy cubes of fish with perfect grill lines—all smothered in a peppery chile-based sauce. When you come with a bunch of your friends or a handful of strangers you bribed because switching your preference to six guests got you an earlier reservation, go for the large branzino filled with ginger and tomatoes for $112. And always end your meal with the creamy brown sugar soft serve that’s so creamy that we’d eat even it when the temperature dips below freezing. ,Outside of the servers rocking Hawaiian-style shirts, you can tell from the paper lanterns dangling from the ceiling and neon signs on the wall that this is a place where you can hang out with some friends and not take things too seriously. That being said, you should save it for a birthday or a special occasion where nobody cares too much about having to pay $50 for mains. ,It’s also a great spot for vegetarians because, thanks to the excellent salatim, you can come here and not have to worry about getting that sad broccoli dish or a dry veggie burger that looks like it’s made out of sponge. That's just another reason why we love Laser Wolf, and why our speech keeps getting longer by the day.  ,
",/philadelphia/reviews/laser-wolf,0.8305277994575495,804
"Sometimes you go to a music festival for a headliner and the opening acts surprise you. It’s like that one time we went to Made In America for Billie Eilish and subsequently heard a band led by a girl playing a recorder doing hip-hop covers. Even though we found some new songs we listen to in the shower, it didn’t come close to the excitement of seeing a star performer. ,At Bella Vista’s Fiorella, all of their pastas could be the headliner—not just on this menu, but at any Italian restaurant in the city. Things like tagliolini with clams, ricotta gnocchi, and rigatoni with sausage ragu will wow you, not to mention the appetizers are a pleasant surprise. ,
When you walk into this Italian spot, you’ll notice some of the antiques and remnants from the old space, like wooden piggy banks, an old metallic cash register, and the Fiorella Sausage butcher signage. But it’s not all throwback charm inside, as they have a giant and shimmering purple Venetian chandelier dangling in the middle of the dining space. Although, even with that kind of upscale fixture, a meal here is nothing like a fancy experience you’d get at their sister spot Vetri Cucina. The relaxed space inside only consists of a 14-seat bar and a few chairs along the walls. The cozy seating also means you have an intimate view of the chef flipping handspun tonnarelli in a creamy romano sauce or tossing rolled raschiatelli with chunks of guinea hen in bolognese.,It’s safe to go for two or three small plates and all of the pasta, especially if you’re with a group. Outside of the salad and fried mozzarella mounds, you should also go for the beef carpaccio that’s thinly sliced, briny, and comes served with perfectly charred beets. These opening acts get you ready for the pasta dishes you’ll pass around the table.,All of the pasta options range from $20-$25 and come with seasonally-changing sauces that rotate as often as the colors on Boathouse Row. No matter what options they have on the menu, they’ll be some of the best pasta you’ve had in your life. They do keep one dish on the menu regularly, their rigatoni with Fiorella sausage ragu, and it’s the best thing here. Plus, if you order their warm and fluffy focaccia bread, you can make a whole second meal out of sopping up any leftover pasta sauce. ,They’re open every day of the week, which is great because that’s how often you’ll probably get the urge to eat here. The covered outdoor seating makes it a place that’s perfect for anything, from a fun date night to a group meal. Because it’s so good, know that it’s somewhere that takes a bit of planning ahead (they often only have 4pm reservations available). But when you’re lucky enough to snag a reservation, you can just park up at an antique stool, eat an app or two, and taste some pasta that will get stuck in your head easier than a woodwind cover of “Mo Money Mo Problems.”
,",/philadelphia/reviews/fiorella-1,0.8610763820861966,12
"As soon as you walk through the door of this Northern Liberties West African spot, you’re met with the scent of steaming jollof rice, plantains fresh out of the pot, buttery cornbread muffins, and the sound of chicken sizzling on the grill. It’s a sensation that we can’t put a price on, but they have, and it’s notably affordable (the bowls are $13 or under and each comes with a side). Suya Suya is a comfortable counter-service place to grab a quick meal in between a night out at the bars nearby or before catching a train from the Spring Garden station.,",/philadelphia/reviews/suya-suya,0.8713497687709282,512
"If you’ve lived in Philly for more than a day, you’ve had a cheesesteak. In fact, if you’ve been here for any significant amount of time, you probably have a ranking in your head of the top 10, which one has the softest bread, and where you can find the best cheese wiz. So when a restaurant puts a $140 cheesesteak on their menu, you can’t help but roll your eyes and wonder how anyone could ever justify dropping so much money on a sandwich. But that’s exactly what Barclay Prime did, and it’s the only place in the city that could—and does—get away with it.,Barclay Prime is a steakhouse right on the edge of Rittenhouse Square Park, and it goes big. Like a reality TV star planning an amusement park-themed birthday party for their one-year-old big. Like the city of Philadelphia after winning a Super Bowl big (okay, maybe not that big). But everything they do at this loungey, chandelier-filled spot is like a high-end circus that makes you feel like you’re related to Logan Roy. ,And nothing at Barclay Prime goes bigger than the food, which ranges from a raw bar (that includes an ounce of caviar for $250) to the cheesesteak and a special menu just for wagyu A5 steaks. While you might take one look at the menu and wonder how any piece of meat could be worth as much as a Sixers 100-level seats, one bite of the A5 wagyu filet that you can cut with just a spoon will change that. It’ll have you considering skipping a cable bill or two just to get the chance for one more meal here.,The cheesesteak is the other thing on the menu that’s non-negotiable because it’s the most quality cheesesteak you’ll ever have. It’s so good that you’ll wish you hadn’t even tried it because you probably spent the first half of dinner telling your friends how “there’s no way it lives up to the one at Ishkabibble’s,” especially after getting the speech about how the champagne brings out the flavor from the staff. Now you have to sit there silently and eat your words between sips. While you won’t be walking up to Barclay Prime and ordering a wiz wit on a Tuesday afternoon anytime soon, you’ll definitely be thinking about this sandwich the next time you’re in line at Jim’s for 30 minutes.,For all that is perfect and delicious at Barclay Prime, there is one huge downside: how expensive it is. You should be prepared to spend upwards of $200 per person for dinner here, but if you’re looking for the best steakhouse in Philadelphia, Barclay Prime is in a league of its own.,",/philadelphia/reviews/barclay-prime,0.8690861137487058,1090
"The family of Vetri restaurants is everywhere in Philly. When you’re looking to share a wood-fired pizza with a few friends, head to Pizzeria Vetri. If you need to eat the best pasta in the city that will make you more excited than Garfield when they’re near a plate of lasagna, spend the night at Fiorella. And when you want the crown jewel of the entire empire, where you can sit back and experience the best dining experience in Philadelphia, Vetri Cucina is the place to be. ,The Center City restaurant always delivers a night of excellent service that feels like a curated hospitality version of a Spotify playlist. You’ll feel like the center of attention, so much so that you may forget that anyone or anything else in the cozy spot exists at all. ,The $150 five-course tasting menu is more of a choose-your-own-fantasy adventure since every dish will remain in your thoughts days after your meal. It changes seasonally but the roadmap stays the same: pick a small plate, antipasto, pasta dish, and entree before getting your dessert. To begin with, you can expect (and you should go for) things like their sweet onion crêpe that’s essentially sticky caramelized strands of allium drenched in a creamy parmesan fondue. You should also try their savory Dungeness crab budino with asparagus bits floating in the thick broth and gets served with a flaky gnocco fritto that you can use to make the most lavish Hot Pocket ever. ,The pasta is the star of the show, though, especially because it’s the course with the most options (5) to choose from. But the corzetti with pistachio tarragon pesto and briny clam conserva is so good that we think about telling the host that’s the reason why we’re here (not for a birthday, anniversary, or any other appropriate time to come). With every course being as good as the last, it almost feels like you’re collecting Italian restaurant Infinity Stones after you finish each dish. By the end of your meal, your only wish when you snap your fingers will be to come back and repeat this dining experience over and over again.,If your bank account can’t handle that, save up and go to this place for a celebration that you have in bold on your calendar. When you do, get the wine pairing that runs an additional $135. While they have a bunch of options by the glass and bottle, the pairing comes with the special experience of hearing about the history between each wine—down to the grape types and stories about the producers.  ,
Beyond the great food, it’s the attentive service here that sets this restaurant apart. And that’s what makes it not only the best restaurant in the city, but a place where you would actually believe that there’s a genie in the kitchen granting life-fulfilling wishes in the form of the best dinner of your life.  ,",/philadelphia/reviews/vetri,0.8641319548892552,883
"When Bono sits down for dinner, we imagine him at the head of a long, mahogany table and being brought a 14-course meal of delicacies from around the world. If he doesn’t like what’s in front of him, he simply waves a hand and a team of waiters dressed in tuxedos removes the offending dish and replaces it immediately with something even more impressive, probably covered in edible gold flakes. While most of us will never experience anything quite this luxurious in our lives, dinner at Laurel gets you pretty close. ,Laurel is a 24-seat, tasting-menu-only restaurant on East Passyunk that serves some of the most creative and beautiful food in the city. When you tell people you made a reservation here, they act like you’ve been invited to some super-exclusive dinner party with the original cast of Hamilton. And while it’s a bit quiet and may feel overly formal and stuffy at times, as each dish comes out, you’ll soon realize that this is one of the best meals you can eat in Philadelphia.,The $135 six-course menu here is always changing and the food generally skews French, but each dish seems like it could be from a different part of the world. Whether it’s a simple piece of sea urchin with blood orange and finger lime that you’d expect from an excellent sushi spot or a tender slice of venison topped with mustard and a juniper jus, the seemingly contrasting flavors come together in ways that will make you want to go home and see what happens when you cover a duck with rhubarb and then dip it bee balm (which is on the menu). Each course also makes us think there’s someone in the kitchen whose title is something like “Food Architect” and all they do is find creative ways to put cod on a plate. You never know what your next dish might look like, and you’ll keep finding yourself staring at the kitchen door as if the next M. Night Shyamalan twist is right on the other side.,Depending on the night, you might see a row of oysters sitting on a bed of stones in a wooden box or a small bowl of soup topped with colorful drops in a spiral pattern that makes it look like an optical illusion, each of which is set in front of you and explained by someone who might as well be the curator of a modern art museum. They’ll tell you about each course in detail, and then disappear only to come back as soon as you finish the last bite of l’arpege egg and salty caviar and replace it with your next dish.,While most of the food at Laurel is truly excellent, every once in a while we’ll encounter a dish we don’t love. Maybe the snapper isn’t quite cooked right or the halibut comes off a little too harsh. But even in that rare instance, the staff will practically trip over themselves trying to make it right and make sure you leave happy with the three-hour marathon you just participated in.,Walking into a meal at Laurel is like arriving at a dinner party with a bunch of really important diplomats. You'll feel like you have to be on your best behavior, but if you can conjure up an occasion worthy of dropping over $100 for dinner (like an anniversary or a date night), there’s no better place to impress an out-of-towner or your partner of five years. We think Bono would approve if he ever made it here, but we already had the Taylor Swift eat in Philly a few times so we probably shouldn’t push our luck.,",/philadelphia/reviews/laurel,0.8577079337292879,1126
